fecha,descripcion,ambito,id_municipio,lugar
2025-03-04,Martes de Entroido,municipal,32022,Castrelo de Miño
2025-08-05,Virxe das Neves,municipal,32022,Castrelo de Miño
2025-01-20,San Sebasti�n,municipal,32023,Castro Caldelas
2025-09-08,festa da Virxe dos Remedios,municipal,32023,Castro Caldelas
2025-03-04,Martes de Entroido,municipal,32024,Celanova
2025-09-15,festa da Virxe do Cristal,municipal,32024,Celanova
2025-03-04,Martes de Entroido,municipal,32025,Cenlle
2025-07-11,San Bieito,municipal,32025,Cenlle
2025-03-04,Martes de Entroido,municipal,32026,Coles
2025-11-11,San Marti�o,municipal,32026,Coles
2025-07-11,San Bieito,municipal,32027,Cortegada
2025-07-24,festas de Cortegada,municipal,32027,Cortegada
2025-03-05,M�rcores de Cinza,municipal,32028,Cualedro
2025-06-13,Santo Ant�n,municipal,32028,Cualedro
2025-03-04,Martes de Entroido,municipal,32029,Chandrexa de Queixa
2025-09-08,luns posterior � festa do Cordeiro,municipal,32029,Chandrexa de Queixa
2025-02-28,,municipal,32030,Entrimo
2025-06-24,,municipal,32030,Entrimo
2025-03-04,Martes de Entroido,municipal,32031,Esgos
2025-11-11,San Marti�o,municipal,32031,Esgos
2025-03-04,Martes de Entroido,municipal,32032,Xinzo de Limia
2025-07-18,festas de Santa Mari�a,municipal,32032,Xinzo de Limia
2025-01-17,Santo Ant�n Abad,municipal,32033,Gomesende
2025-06-13,Santo Ant�n de Padua,municipal,32033,Gomesende
2025-02-25,,municipal,32034,A Gudiña
2025-08-25,,municipal,32034,A Gudiña
2025-03-04,Martes de Entroido,municipal,32035,O Irixo
2025-05-13,Virxe de F�tima,municipal,32035,O Irixo
2025-02-03,San Brais,municipal,32036,Xunqueira de Amb�a
2025-04-29,San Pedro,municipal,32036,Xunqueira de Amb�a
2025-03-04,Martes de Entroido,municipal,32037,Xunqueira de Espadanedo
2025-07-07,luns das festas patronais na honra de Santa Isabel,municipal,32037,Xunqueira de Espadanedo
2025-03-04,Martes de Entroido,municipal,32038,Larouco
2025-09-08,,municipal,32038,Larouco
2025-03-05,M�rcores de Cinza,municipal,32039,Laza
2025-05-02,,municipal,32039,Laza
2025-03-04,Martes de Entroido,municipal,32040,Leiro
2025-11-11,San Marti�o,municipal,32040,Leiro
2025-01-22,San Vicente,municipal,32041,Lobeira
2025-03-04,Martes de Entroido,municipal,32041,Lobeira
2025-03-04,Martes de Entroido,municipal,32042,Lobios
2025-08-12,festa do Ver�n,municipal,32042,Lobios
2025-03-04,Martes de Entroido,municipal,32043,Maceda
2025-08-12,festas patronais de Maceda,municipal,32043,Maceda
2025-03-04,Martes de Entroido,municipal,32044,Manzaneda
2025-08-11,Virxe das Neves,municipal,32044,Manzaneda
